TACHYONS,LOVEISTOOYOUNGTOKNOW,EOXLG GGGHY QBLUG GDNQD 
RAILROAD,INLOVINGTHEETHOUKNOW,ZNTZM WNJKH MPKVO XBNWH 
SICKENED,CUPIDLAIDBYHISBRANDA,UCRSH YELVJ ARMFF USVFK 
MORTICES,THELITTLELOVEGODLYIN,FVVEQ VXDQZ FOMIS VXMZG 
RESERVES,FROMFAIRESTCREATURES,WVGQW VMJVW LGIZE LLVWW 
NITRATES,WHENFORTYWINTERSSHAL,JPXEF HVLLE BETXV KFPTC 
WINTERED,LOOKINTHYGLASSANDTEL,HWBDM EXKUO YTWJE QZBRE 
UNDERSEA,UNTHRIFTYLOVELINESSW,OAWLI AJTSY RZVDM NYFVA 
SHEEREST,THOSEHOURSTHATWITHGE,LOSWV LGNJZ XLRXO BLOKI 
SCIATICA,THENLETNOTWINTERSRAG,LJMNE MVNGV EIGBG RKTIG 
TOKENISM,LOINTHEORIENTWHENTHE,ECSRG PWAKW ORGEZ QGHRI 
SUNSHADE,MUSICTOHEARWHYHEARST,EOFAJ TRLWU EOOYK ISLFL 
FILLINGS,ISITFORFEARTOWETAWID,NATEN BXXJI CEWJK LFETO 
UNSUBTLY,FORSHAMEDENYTHATTHOU,ZBJMI TXCXR FSUAL RNUGO 
MODULATE,ASFASTASTHOUSHALTWAN,MGIUD TTWFV RODHT PFKDH 
BREEZIER,WHENIDOCOUNTTHECLOCK,XYIRH LSTPL RXSPI TMFGO 
PETTIEST,OTHATYOUWEREYOURSELF,DXATB CGNLI KXGSM KHIEY 
ASSUAGES,NOTFROMTHESTARSDOIMY,NGLZR UQLHW KNAXW VOAES 
CANBERRA,WHENICONSIDEREVERYTH,YHROM TFNUI QFVVM ETYGI 
EPITAPHS,BUTWHEREFOREDONOTYOU,FJBPH TYWJD ZXDDU GXNWN 
UNTAGGED,WHOWILLBELIEVEMYVERS,QUHWO RPEYY BEBKQ BPRKS 
WETSUITS,SHALLICOMPARETHEETOA,OLTDF QVGIT TJYBA WAXHS 
BAGGIEST,DEVOURINGTIMEBLUNTTH,EEBUC VAGHT OSMFD NOTZN 
TYPECAST,AWOMANSFACEWITHNATUR,TUDQC NKYTA TAKTZ GTRJV 
DOMINEER,SOISITNOTWITHMEASWIT,VCUAV XRFWK UBUQI RVKUB 
ENOUNCES,MYGLASSSHALLNOTPERSU,QLUFN UWKLN ZFAQX HIEGO 
CLASPING,ASANUNPERFECTACTORON,CDAFJ VCKTQ EUIIP ZQCOF 
DRIVEINS,MINEEYEHATHPLAYDTHEP,PZVZI GRZDK PKPIL VWYMK 
LISTENED,LETTHOSEWHOAREINFAVO,WMLML BWHHP GTVRM QQINH 
ESCAPING,LORDOFMYLOVETOWHOMIN,PGTDD NZEPG XEIWJ NSEKN 
CUTENESS,WEARYWITHTOILIHASTEM,YYTVL AALJN HMYMZ SUNXQ 
BLOTTING,HOWCANITHENRETURNINH,IZKVT VVZIP BKXBH XOTBA 
REPROVED,WHENINDISGRACEWITHFO,NLTEW IHLJK GRQZA LKLUF 
SHUNNING,WHENTOTHESESSIONSOFS,OOYAG WGNWZ YFFQB TKVZF 
BRUSHOFF,THYBOSOMISENDEAREDWI,UYSTV GTRJJ YFKSF WFUQA 
RIPENESS,IFTHOUSURVIVEMYWELLC,ZNILB YKMID XZRQQ OVTAG 
TRADUCER,FULLMANYAGLORIOUSMOR,YLLOG CRPTX LRLKS LLDOU 
DIVISORS,WHYDIDSTTHOUPROMISES,ZPTLA RJLWP JCHFF ELAZA 
SQUEAKED,NOMOREBEGRIEVEDATTHA,FEGSR OFHYH CIVOH DLJBE 
WAVEBAND,LETMECONFESSTHATWETW,HEOQF CBQBE NWUHN WSEOA 
CRINKLED,ASADECREPITFATHERTAK,CJIQO NVHRZ BSKEL HTKIX 
FACTOTUM,HOWCANMYMUSEWANTSUBJ,MOYVO GGKRU UXKTH FXUDC 
DONATION,OHOWTHYWORTHWITHMANN,RVBWM PMJRF GHPQH UPOAN 
MORALITY,TAKEALLMYLOVESMYLOVE,FOBEL TEKKZ FVPAF WXCME 
GANTRIES,THOSEPETTYWRONGSTHAT,ZHBLV XILZY JKFVK KZHNM 
PRIORIES,THATTHOUHASTHERITISN,IYIHK PSMWR AHYMV AIZAB 
DETERRED,WHENMOSTIWINKTHENDOM,ZLXRD FWWLA BRBKL HQHHQ 
SPECKLED,IFTHEDULLSUBSTANCEOF,AUXJO OYODH YDCEE QUTSH 
BREEDING,THEOTHERTWOSLIGHTAIR,UYISW PRXUN SWOQT NURMV 
HATTRICK,MINEEYEANDHEARTAREAT,TIGXV GGKUD AXRZV KYETM 
GRASSIER,BETWIXTMINEEYEANDHEA,HVTOA FXDOE EWQME EJYES 
REFOLDED,HOWCAREFULWASIWHENIT,YSBQL UIILP BODLA KVRNH 
DRIVEWAY,AGAINSTTHATTIMEIFEVE,DXIDR OTRKR BOMIE GIVDZ 
SOLENOID,HOWHEAVYDOIJOURNEYON,ZCHLR ODBVC TNBIZ QWMZR 
DISKETTE,THUSCANMYLOVEEXCUSET,WPMCG TGQBT GFIXQ GXAWD 
CARVINGS,SOAMIASTHERICHWHOSEB,UORHQ NYLJE IDKUC ZQSVW 
EMISSARY,WHATISYOURSUBSTANCEW,ATILA SPMYD AMTSK YROMO 
JOINTING,OHOWMUCHMOREDOTHBEAU,XVWJF CPNVC ZRWWG NKSIH 
DARKROOM,NOTMARBLENORTHEGILDE,QOKWR FPXHN FBKVS SLLUO 
COSINESS,SWEETLOVERENEWTHYFOR,UKWMG PGNGF WVRAL ZATGZ 
MARQUEES,BEINGYOURSLAVEWHATSH,NEZDA CSMDS CQPIA ZMTJX 
CONCERTS,THATGODFORBIDTHATMAD,VVNVK FWXQF OKHKA SVANF 
RIGIDITY,IFTHEREBENOTHINGNEWB,ZNZPH ZXZVV UBKQG EEMCJ 
PAMPERED,LIKEASTHEWAVESMAKETO,AIWTE JXKTW MKIJQ DZEFD 
RETESTED,ISITTHYWILLTHYIMAGES,ZWBXL ACZZP EXZRM PRKXW 
GENIUSES,SINOFSELFLOVEPOSSESS,YMAWZ KIDLP BDYHS KYIFA 
OUTSHINE,AGAINSTMYLOVESHALLBE,OATAU AGQMF HNLAU EZFUW 
CRUCIBLE,WHENIHAVESEENBYTIMES,YYYPQ ILZGJ YGVCJ XKDYU 
REGULATE,SINCEBRASSNORSTONENO,JMTWP BKEJW TICSM SEITI 
FOREPLAY,TIREDWITHALLTHESEFOR,YWIIS HIRMO CPISE QJTFV 
HANDICAP,AHWHEREFOREWITHINFEC,HHJKM TEUVR RZQVH XUFRF 
AIRTIGHT,THUSISHISCHEEKTHEMAP,TPLLQ YOBSK YXMQA AEURI 
INFERRED,THOSEPARTSOFTHEETHAT,BUTWV GEUBF TJKYI HBUFX 
LOWLIEST,THATTHOUARTBLAMEDSHA,EVWEB LGNLF PMTEE XOGDL 
HEARTILY,NOLONGERMOURNFORMEWH,USLFG OPPTS UIGNZ PTIWY 
CARAPACE,OLESTTHEWORLDSHOULDT,QLVSI TJIYO ILSSJ SWLUT 
TOWERING,THATTIMEOFYEARTHOUMA,MVWXK QZKHT UIRZG NHIIE 
DIVISIVE,BUTBECONTENTEDWHENTH,ECOJW KJRWM IBWLR LHVOP 
THALLIUM,SOAREYOUTOMYTHOUGHTS,LVACP GIGMV MJEPI GZOTD 
HEAVIEST,WHYISMYVERSESOBARREN,DLYDA QQOLV SZAST TYVEI 
GATEPOST,THYGLASSWILLSHOWTHEE,ZHRKA OKLCI EPHVG PZHXI 
IMPROVED,SOOFTHAVEIINVOKEDTHE,AADWH CEYMU XEJJO HLFWV 
FISHLIKE,WHILSTIALONEDIDCALLU,BPASD BSEQW FLOQN GFTDB 
REMEMBER,OHOWIFAINTWHENIOFYOU,FLAAU GEZEX ILQOM FWCAY 
TINGLIER,ORISHALLLIVEYOUREPIT,HZVYS IPCEQ IKJWY IXXVZ 
ENNOBLES,IGRANTTHOUWERTNOTMAR,MTEOO EXZSH JSSER GXZNF 
TRICKING,INEVERSAWTHATYOUDIDP,BEMXO ZFGPK PCDGB AWZLR 
CHAPTERS,WHOISITTHATSAYSMOSTW,YOOXL MKLJH THTCJ EQZTL 
SALUTING,MYTONGUETIEDMUSEINMA,EYEIG OHKLI PXFCF KANXU 
WRENCHED,WASITTHEPROUDFULLSAI,SRWVV ALHLI SHFMY OHJEV 
MULBERRY,FAREWELLTHOUARTTOODE,RUCFA VCJFB ZVEIK RAIOF 
REINVEST,WHENTHOUSHALTBEDISPO,NLMAO LGNJL IYOFW WZWXB 
DISORDER,SAYTHATTHOUDIDSTFORS,VIQHY DXKKW MRZGW KIWJG 
DEBASING,THENHATEMEWHENTHOUWI,WLFNZ IGKPI XHWVG NRYXI 
REPARTEE,SOMEGLORYINTHEIRBIRT,JSBEX ESVPM CTYXM VSMGT 
SCIMITAR,BUTDOTHYWORSTTOSTEAL,TWBPW MHPOQ ZEBMO JLGIX 
CATAPULT,SOSHALLILIVESUPPOSIN,UOLHP FWBNI OEHOA IQSBN 
BEANPOLE,THEYTHATHAVEPOWERTOH,ULELI VLXIE VRECH ISXOU 
SNOWDROP,HOWSWEETANDLOVELYDOS,ZBKOZ VSISA RHRMS AQQCO 
ANTIBODY,SOMESAYTHYFAULTISYOU,SBFMT OBRHL YIVZW GSLHC 
PLATEAUS,HOWLIKEAWINTERHATHMY,WZWEM KYSLT NMIRB SISMR 
EGGSHELL,FROMYOUHAVEIBEENABSE,JXUEF SFSEB KAIIP YEHYW 
REALLIFE,THEFORWARDVIOLETTHUS,KLEQZ ZBEIH VTZTJ XKLUD 
TERRIERS,WHEREARTTHOUMUSETHAT,PLVIM EILML FLUYJ WMLRK 
ALKALISE,OTRUANTMUSEWHATSHALL,OEBUL VLQUD OWSIL WHLVL 
RESOURCE,MYLOVEISSTRENGTHENDT,DCDCP VKWJX JSHXV LVRVH 
UNEARNED,ALACKWHATPOVERTYMYMU,UYECB JLDNC SVVEX BGLQU 
FORGOING,TOMEFAIRFRIENDYOUNEV,YCDKT IVXKF ZKBLL UZBVB 
DISTRESS,LETNOTMYLOVEBECALLDI,OMLGF XEQOW NXSIU SOTVB 
RESTARTS,WHENINTHECHRONICLEOF,NLWGI EMZVG ZKOEB UCIGY 
POPULIST,WHENINTHECHRONICLEOF,LVTHT VLATQ WLZVA VASDZ 
WICKEDLY,NOTMINEOWNFEARSNORTH,JWVWM QPMSV HOEUD LKZVR 
CHAIRMAN,WHATSINTHEBRAINTHATI,YOABJ UNGJL BZRUN GJHTQ 
HANGOVER,ONEVERSAYTHATIWASFAL,VNRBS MWRFT UGHDA RZFNR 
TORTURED,ALASTISTRUEIHAVEGONE,TZRLN ZWWKI VBBRZ HZCEX 
ENQUIRED,OFORMYSAKEDOYOUWITHF,SSELU PWDOR TIGFY ZMGXZ 
GYMNASTS,YOURLOVEANDPITYDOTHT,EMGEL GOWGL PCILR VURTG 
CLIMATIC,SINCEILEFTYOUMINEEYE,UTVOE BTGHE GAUFQ PGPGQ 
ARTICLED,ORWHETHERDOTHMYMINDB,OIPPG ELHRU HBJXC PIEWJ 
ADJOURNS,THOSELINESTHATIBEFOR,TKXGY CVFEV CVUKV TEIXF 
LAMINATE,LETMENOTTOTHEMARRIAG,WEFUR NHXEO FPRMT VCIMO 
SHADOWED,ACCUSEMETHUSTHATIHAV,SJCXG AQHLO UVHDE WAOAY 
ITERATED,LIKEASTOMAKEOURAPPET,TBOVA LXRUT OVONV DXIIK 
PEDANTRY,WHATPOTIONSHAVEIDRUN,LLDTC HKGDR VHNOV GSVXN 
AIRFRAME,THATYOUWEREONCEUNKIN,TPRYP OGAEZ VTECQ YNSZS 
CHIVALRY,TISBETTERTOBEVILETHA,VPAWE EKCTA WWEGZ JGAPV 
SHAMROCK,THYGIFTTHYTABLESAREW,LOYSZ TVDZF TMSZG CSYEI 
PARAGUAY,NOTIMETHOUSHALTNOTBO,COKIS YTFDU JHGFT LDTSO 
DIARRHEA,IFMYDEARLOVEWEREBUTT,LNMPU LEROW VVNLV EECTK 
PARAMOUR,WERETAUGHTTOMEIBORET,LEIEF OOXWT KOYSC SDRVT 
CONVOLVE,OTHOUMYLOVELYBOYWHOI,QHUJI XTPQJ RGMMJ CYVBD 
CERAMICS,INTHEOLDAGEBLACKWASN,KRKHQ WNVCK VBXIE CYEJN 
MUGGINGS,HOWOFTWHENTHOUMYMUSI,TICUN GCZQH ZNWHS QYOYO 
ANOREXIA,THEEXPENSEOFSPIRITIN,TUSVB MMNSR CWWMQ RIGWE 
PRODIGAL,MYMISTRESSEYESARENOT,BPALA ZRPHJ SBMYA CTECW 
UNPICKED,THOUARTASTYRANNOUSSO,NUDCC BXDMG NZCXR ROFHW 
PLATTERS,THINEEYESILOVEANDTHE,ISIGX IPWHT LHOIR FSEHX 
PONYTAIL,BESHREWTHATHEARTTHAT,QSFFK EEEWO GFXAZ EIVNR 
ARTISTIC,SONOWIHAVECONFESSDTH,SFGWO BPCVV VWFYM USUMP 
CHLORATE,WHOEVERHATHHERWISHTH,YOZSM EKLCA SVVRP MUOEV 
FILAMENT,IFTHYSOULCHEQUETHEET,NNEHK WBNQK SECYR MMMPT 
STOCKILY,THOUBLINDFOOLLOVEWHA,LACWL TTLVY CQVTZ TWPVC 
BAREFOOT,WHENMYLOVESWEARSTHAT,XHVRR MZHWE JAJOF LUHRX 
BANISHES,OCALLNOTMETOJUSTIFYT,PCNTD USLNE GWBBW LJFLB 
BROWNEST,BEWISEASTHOUARTCRUEL,CVKEF ISLUY CQNVL VSLSH 
DROOPING,INFAITHIDONOTLOVETHE,LETOX BUOGF BCITB BHKVS 
ENDEARED,LOVEISMYSINANDTHYDEA,PBYII JQBWV QENUX KCQHE 
EASEMENT,LOASACAREFULHOUSEWIF,POSWM GNKIF MPTSH LIWAJ 
RECLINES,TWOLOVESIHAVEOFCOMFO,KAQWW IIKZL CGMBJ UFQHZ 
SCUTTLES,THOSELIPSTHATLOVESOW,LJILX WMHKV BTMWS NWUIP 
BUNCHING,POORSOULTHECENTREOFM,QIBTZ WHRUB RELVG XFISO 
EXPONENT,MYLOVEISASAFEVERLONG,QVACI IVLEP PTRZR KPLCU 
ASSAILED,OMEWHATEYESHATHLOVEP,OEWWP LXHYW KHIEL OONWP 
DISCOVER,CANSTTHOUOCRUELSAYIL,FIFUH OLFXW UTIZP JDGAN 
COLDNESS,OFROMWHATPOWERHASTTH,QTCRZ AZSVD ZZRVZ SUHEK 
FLIMSILY,LOVEISTOOYOUNGTOKNOW,QZDQA AEMTJ WGFOE MPYWI 
MIDDLING,INLOVINGTHEETHOUKNOW,UVORG QAMFP HHEPB AWVRZ 
SCARLETS,CUPIDLAIDBYHISBRANDA,UWPZO PTAVD YYTWU JSPDR 
UNTENDED,THELITTLELOVEGODLYIN,NUXPV WXOYY HZRJS GFLBR 
CHIMAERA,FROMFAIRESTCREATURES,HYWYF EZRGZ BORIR TWYME 
SPACEMAN,WHENFORTYWINTERSSHAL,OWEPJ ARGQL IPXQR FKWAN 
CLIMAXED,LOOKINTHYGLASSANDTEL,NZWWI KXKAR TMSPE QFEMX 
INVOLVES,UNTHRIFTYLOVELINESSW,CAOVC DJLGY JJPGM FMFNK 
DEPLOYED,THOSEHOURSTHATWITHGE,WLDDS FSXUW ISORA LWLVP 
LILONGWE,THENLETNOTWINTERSRAG,EPPBY KPRZB HWAZA VDZLU 
KNEADING,LOINTHEORIENTWHENTHE,VBMNW PRUBV INWEU KXGLE 
HYPNOTIC,MUSICTOHEARWHYHEARST,TSHVQ MWJLY GJVRP GHPHG 
LIGAMENT,ISITFORFEARTOWETAWID,TAOTR SEYPI XTAAR MLEOD 
ABSENCES,FORSHAMEDENYTHATTHOU,FPJWU CQWDF FCGJE LTIGY 
LANDMASS,ASFASTASTHOUSHALTWAN,LSSDE TSKEH BXEHS DEWNQ 
AERATING,WHENIDOCOUNTTHECLOCK,WLVNB LBIOY ETMPR ILSTK 
FINISHES,OTHATYOUWEREYOURSELF,TBUIL FSMBM EMQVY JXMYN 
SPINSTER,NOTFROMTHESTARSDOIMY,FDBSJ HQKZT AGSKW UGXUL 
WEAVINGS,WHENICONSIDEREVERYTH,SLEIQ PUFOM DZZRB WNCTC 
ENLARGED,BUTWHEREFOREDONOTYOU,FHEWY KVHJB CEUUR RXLZU 
CONVENER,WHOWILLBELIEVEMYVERS,YVBRM YPSGZ VZZRQ PXSEN 
PERMUTES,SHALLICOMPARETHEETOA,HLRXF BGGBT RDYML WTXFM 
CREAMING,DEVOURINGTIMEBLUNTTH,FVZOG ZVTIK MMQJY APKXH 
UKULELES,AWOMANSFACEWITHNATUR,UGIXE YWXUM YHMEL FUDOC 
FLYWHEEL,SOISITNOTWITHMEASWIT,XZGOP XRZYH GPOQI LXHGP 
TRAINEES,MYGLASSSHALLNOTPERSU,FPGTN WWKAR LTASX HXISC 
GESTURES,ASANUNPERFECTACTORON,GWSGO ETWXJ WVNRG LUVGG 
FLORIDLY,MINEEYEHATHPLAYDTHEP,RTBVM BPFFE VGTDJ BYSSG 
LIAISONS,LETTHOSEWHOAREINFAVO,WMTBZ CFWHP OIJSV FQIVW 
MERRIEST,LORDOFMYLOVETOWHOMIN,XSIUW JERXS MVBSO AAQZE 
BLASTERS,WEARYWITHTOILIHASTEM,XPAJR AZLIE OAEMY STEEE 
SHOPLIFT,HOWCANITHENRETURNINH,ZVKRL VNMZL BGPBZ KFPBW 
LAMENTER,WHENINDISGRACEWITHFO,HHQRV GHZDG DEPXA ZEHRS 
ACTUATES,WHENTOTHESESSIONSOFS,WJXHT HXZEU XMSBS FSQYM 
MARSHIER,THYBOSOMISENDEAREDWI,FHPTV ASDUS VFKME IQDNA 
NATIONAL,IFTHOUSURVIVEMYWELLC,VFMPC HSFEV BDSZY HRLEK 
MUSINGLY,FULLMANYAGLORIOUSMOR,RODTZ GYWMA DWEOZ SEGGZ 
SPATTERS,WHYDIDSTTHOUPROMISES,OWYWB HJLLW ONIVF EAHEL 
BIDDINGS,NOMOREBEGRIEVEDATTHA,OWPRZ RHWHZ LHDRJ SUBKD 
LOYALIST,LETMECONFESSTHATWETW,WSRMP KGGQS QSEPS MHSRW 
HOOVERED,ASADECREPITFATHERTAK,HGOYI TVHWW HAEKL HYHOF 
SHREDDER,HOWCANMYMUSEWANTSUBJ,ZVNGD QQPEB JIZDR KKBSN 
BLACKSEA,OHOWTHYWORTHWITHMANN,PSOYD ZCWPC TJGAX HNLNP 
SANSERIF,TAKEALLMYLOVESMYLOVE,LAXWE CTRQL BNIJU DDOIW 
TELLTALE,THOSEPETTYWRONGSTHAT,MLZDX PPXMC HCHNR WMLLE 
EINSTEIN,THATTHOUHASTHERITISN,XPNLM LWHLI FLAIZ VXQFF 
HEATHERY,WHENMOSTIWINKTHENDOM,DLEGT SJRPA IGRXY CUHOF 
ACCUSERS,IFTHEDULLSUBSTANCEOF,IHVBW HLDLU WVKXR FCGQZ 
LYNCHING,THEOTHERTWOSLIGHTAIR,EFRQA PRXEU BUSQT NEYVT 
SUBSONIC,MINEEYEANDHEARTAREAT,ECOWS LMCFX IWOEB CJYBL 
CREDENCE,BETWIXTMINEEYEANDHEA,DVXZM KVQKE IHCRC RFYID 
SOMEBODY,HOWCAREFULWASIWHENIT,ZCIGB FHDMZ IETWZ FWBUX 
APPROVED,AGAINSTTHATTIMEIFEVE,AVPZB NXWHP IKWHI LFTKV 
CRUCIFIX,HOWHEAVYDOIJOURNEYON,JFQJM FDVFF CLWZZ KGPIP 
SNEAKING,THUSCANMYLOVEEXCUSET,LUYSM IASQY SVOMK IMFIT 
CHOPPIER,SOAMIASTHERICHWHOSEB,UVOBX IWKJL FXRPA YQZSQ 
WEARYING,WHATISYOURSUBSTANCEW,SLAKG ALUQV SLZAG GJGEN 
TREADING,OHOWMUCHMOREDOTHBEAU,HYSWP CPNFF VEGWG NUVEU 
UPLOADED,NOTMARBLENORTHEGILDE,HDEAA UFOYC ZFTKI JCAOS 
LUNACIES,SWEETLOVERENEWTHYFOR,DQREV TSNPL RNGEX ZJZBR 
FEROCITY,BEINGYOURSLAVEWHATSH,GIZBI GHSWW COXMP FFXJV 
BUSTLING,THATGODFORBIDTHATMAD,UBSMR WQLPL TBOBU GUGSW 
BEGRUDGE,IFTHEREBENOTHINGNEWB,JJZYY UKFFR UKBLT KOICS 
UNDERPAY,LIKEASTHEWAVESMAKETO,FVNIR HTFYJ DZVHM YERWS 
PROFITED,ISITTHYWILLTHYIMAGES,XJWYB ACZXC ZYPRM PPXSX 
SWAPPING,SINOFSELFLOVEPOSSESS,KENDU ARRXH OKTXB YKASH 
DIAMETER,AGAINSTMYLOVESHALLBE,DOAUR LXDBT OHILL ROTBQ 
STUNTING,WHENIHAVESEENBYTIMES,OAYAB PNBWL YRGJL ZAFYF 
BASEBALL,SINCEBRASSNORSTONENO,TIFGF BCLTS FSSSE ZOEFS 
BLOODILY,TIREDWITHALLTHESEFOR,UTFSG ETRIL ZZWPP QFQCF 
CABBAGES,AHWHEREFOREWITHINFEC,CHXIE XIXQR FXIZL APFFD 
TONNAGES,THUSISHISCHEEKTHEMAP,MVHFI YLALQ UREQX ZXANC 
INSPIRES,THOSEPARTSOFTHEETHAT,BUGHM GEJBF GUBYI WBUSI 
HONESTLY,THATTHOUARTBLAMEDSHA,AVNXL AZSHF GFDTX CKGUE 
OUTRAGES,NOLONGERMOURNFORMEWH,BIEFN MIJAI NINLS JAYPY 
SILICATE,OLESTTHEWORLDSHOULDT,GTPAV TAIOW CTFSA SMTOB 
ABUNDANT,THATTIMEOFYEARTHOUMA,TIUGW IZXOG SRDRG AOVGN 
UNCOILED,BUTBECONTENTEDWHENTH,VHVPM NSQNR PHMOA KYAVV 
WAVEFORM,SOAREYOUTOMYTHOUGHTS,OOVVJ MFGPO HCYVF GCHOW 
AROUSING,WHYISMYVERSESOBARREN,WYMCK ULBEI GYKWO GRISH 
DIGITISE,THYGLASSWILLSHOWTHEE,WPEOE IKWZQ RTLPG AWPKM 
ORBITALS,SOOFTHAVEIINVOKEDTHE,GFPNM HLNSZ JVOOV WRKIM 
SINGULAR,WHILSTIALONEDIDCALLU,OPVRM EIRDW AKXTD TSTYA 
WORKLOAD,OHOWIFAINTWHENIOFYOU,KVFGT TALJH NRPBI RBMFE 
VIOLATED,ORISHALLLIVEYOUREPIT,JZWDH TPOGQ JPYHY UZXWE 
HATCHING,IGRANTTHOUWERTNOTMAR,PGKCU BGNVU PGYBA UAMTT 
ROUNDERS,INEVERSAWTHATYOUDIDP,ZBYIH VJSNH BNWCF MUWXC 
COLANDER,WHOISITTHATSAYSMOSTW,YVZIF LXKJO ESNBW DQGEW 
DECLARED,MYTONGUETIEDMUSEINMA,PCVZN XYHWM GOMLW HLROL 
THYROIDS,WASITTHEPROUDFULLSAI,PHQZH BKWIY MLRNX DEZYZ 
ARACHNID,FAREWELLTHOUARTTOODE,FRRGD RTOTY OWHEB WOFDG 
MASTERLY,WHENTHOUSHALTBEDISPO,IHWGX YZSEH SEXSP BUSHH 
TRADEINS,SAYTHATTHOUDIDSTFORS,LRYWL IGLAF UGMLF LYFRV 
EPIGRAPH,THENHATEMEWHENTHOUWI,XWMTY AILQT ENVNI OSJEO 
FIXATIVE,SOMEGLORYINTHEIRBIRT,XWJEZ TJVDQ KTAMD VGQOT 
PROVOKER,BUTDOTHYWORSTTOSTEAL,QLHYC DLPLF FNHDS JIVOG 
NETWORKS,SOSHALLILIVESUPPOSIN,FSLDO CVAYM OAGLZ HBWBJ 
DEFERRED,THEYTHATHAVEPOWERTOH,WLJCK YEWKE AIGFA HUXTL 
TOENAILS,HOWSWEETANDLOVELYDOS,ACAFW MPLTB HYODP DRRSF 
MANDRILL,SOMESAYTHYFAULTISYOU,EOZHJ IJETY SDLTE TEYBX 
EFFACING,HOWLIKEAWINTERHATHMY,LTBLK SRGAN STGZU GXMRY 
INTERRED,FROMYOUHAVEIBEENABSE,NEHQP FYKII XMSVI QIOLI 
CANDELAS,THEFORWARDVIOLETTHUS,VHRIS CWSTD ILSWE LVHHV 
WHEELING,WHEREARTTHOUMUSETHAT,SOIVP IEZPO SYXCF KPOEX 
ACTUATOR,OTRUANTMUSEWHATSHALL,OVKOA GHDUU XQHTH JHCEF 
SCOURGES,MYLOVEISSTRENGTHENDT,EAZIM KMKKV FYEMX ZWPRN 
FRONTAGE,ALACKWHATPOVERTYMYMU,FCOPD WNEYG CIXRZ CRPAH 
LINESMEN,TOMEFAIRFRIENDYOUNEV,EWZIX MMEQZ VIFPC BFVRZ 
BEGGARLY,LETNOTMYLOVEBECALLDI,MIZTO KXWMS BKBVN YMPJO 
ENLARGES,WHENINTHECHRONICLEOF,AUPNZ TXZIP SRFTM UPRZF 
GRANULAR,WHENINTHECHRONICLEOF,CYEAC YTYKT HEIYI TRVOS 
NASTIEST,NOTMINEOWNFEARSNORTH,AOLFQ RWHJN XXIVK GBRLA 
PROMISES,WHATSINTHEBRAINTHATI,LYOFA ARLWV PDIAR LWRHU 
GEOLOGIC,ONEVERSAYTHATIWASFAL,URSGS XACEX VLHOE CYJOW 
BRANDING,ALASTISTRUEIHAVEGONE,BCAFW QFZSL EVKII KHFNR 
RIFLINGS,OFORMYSAKEDOYOUWITHF,FNTCU LYSBM IZGBA OZBMQ 
SENTRIES,YOURLOVEANDPITYDOTHT,QSHKC WZWSR QIZBC VGXUM 
TRAMPLED,SINCEILEFTYOUMINEEYE,LZNOT TPHYK YAJXM QXVYQ 
DRAWBACK,ORWHETHERDOTHMYMINDB,RIWDF TJOUU OPIMA WLEDX 
DOOMSDAY,THOSELINESTHATIBEFOR,WVCEW OILHG HTSWI ZHTCD 
AMOUNTED,LETMENOTTOTHEMARRIAG,LQHGR GSWTA HBRFE URUOA 
SMARTING,ACCUSEMETHUSTHATIHAV,SOCLL MZKLT UJMPN ZATAM 
BUTTONED,LIKEASTOMAKEOURAPPET,MCDXO FXRNU DXCHV DQJXM 
TROTTING,WHATPOTIONSHAVEIDRUN,PYOMI WGOHE GATDR OWIIG 
WELCOMES,THATYOUWEREONCEUNKIN,PLLVM AYOAV PQBOI MJOTP 
LODESTAR,TISBETTERTOBEVILETHA,EWVFW MTVCH RFWOI CPHKE 
ABSCISSA,THYGIFTTHYTABLESAREW,TIQIQ XLTHZ LCJDW SASWY 
INDEBTED,NOTIMETHOUSHALTNOTBO,VBWMN XXKWH VLBEX QWGES 
HEGEMONY,IFMYDEARLOVEWEREBUTT,PJSCP SNPSS BIISE CIYZX 
REDFACED,WERETAUGHTTOMEIBORET,NIUJT CYJYX WTMGM EFVHY 
REGISTRY,OTHOUMYLOVELYBOYWHOI,FXNWM FPJFZ KTQUF WNLUQ 
UNSIGNED,INTHEOLDAGEBLACKWASN,CALPK BPGUT WJRNG NQNKV 
INNOVATE,HOWOFTWHENTHOUMYMUSI,PBJCA TPLMA GVJUF CUHFW 
TIDDLERS,THEEXPENSEOFSPIRITIN,MPHHI TVFLM RIDTZ JBBLQ 
STRIATED,MYMISTRESSEYESARENOT,ERDQS MVHKL VGELE UWGFB 
WORKROOM,THOUARTASTYRANNOUSSO,PVFER FHMOH PBRBB AQGJY 
BARNACLE,THINEEYESILOVEANDTHE,UHZAE GJITI CBVGL RETYR 
ENROLLED,BESHREWTHATHEARTTHAT,FRJVC PAWLN KVPLV WXURH 
RESIDUUM,SONOWIHAVECONFESSDTH,JSFWZ CBMMI UWQZY EJHLP 
ADOPTION,WHOEVERHATHHERWISHTH,WKCTO MFUAW VWXZK VSKHW 
CLACKING,IFTHYSOULCHEQUETHEET,KQTJI ABANN HGACR ZJPEV 
DECLARES,THOUBLINDFOOLLOVEWHA,WLQFB CMFGJ QZLCS NHAJL 
